file,sheet,cell,value,is_formula
Cisco Unit List Price_240426.xlsx,Cisco,B7,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),36965.33)",True
Cisco Unit List Price_240426.xlsx,Cisco,D7,"=if(C7="""",B7,C7)",True
Cisco Unit List Price_240426.xlsx,Cisco,A8,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500-20X6C"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B8,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),534067.23)",True
Cisco Unit List Price_240426.xlsx,Cisco,D8,"=if(C8="""",B8,C8)",True
Cisco Unit List Price_240426.xlsx,Cisco,A9,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500-12X4QC"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B9,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),284449.0)",True
Cisco Unit List Price_240426.xlsx,Cisco,D9,"=if(C9="""",B9,C9)",True
Cisco Unit List Price_240426.xlsx,Cisco,A10,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500-12X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B10,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),198921.55)",True
Cisco Unit List Price_240426.xlsx,Cisco,D10,"=if(C10="""",B10,C10)",True
Cisco Unit List Price_240426.xlsx,Cisco,A11,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500L-8S4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B11,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),92549.95)",True
Cisco Unit List Price_240426.xlsx,Cisco,D11,"=if(C11="""",B11,C11)",True
Cisco Unit List Price_240426.xlsx,Cisco,A12,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200-24T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B12,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),10084.98)",True
Cisco Unit List Price_240426.xlsx,Cisco,D12,"=if(C12="""",B12,C12)",True
Cisco Unit List Price_240426.xlsx,Cisco,A13,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200-24P"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B13,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),11213.65)",True
Cisco Unit List Price_240426.xlsx,Cisco,D13,"=if(C13="""",B13,C13)",True
Cisco Unit List Price_240426.xlsx,Cisco,A14,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200-48T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B14,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),15922.14)",True
Cisco Unit List Price_240426.xlsx,Cisco,D14,"=if(C14="""",B14,C14)",True
Cisco Unit List Price_240426.xlsx,Cisco,A15,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200-48P"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B15,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),20161.2)",True
Cisco Unit List Price_240426.xlsx,Cisco,D15,"=if(C15="""",B15,C15)",True
Cisco Unit List Price_240426.xlsx,Cisco,A16,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-24T-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B16,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),6262.27)",True
Cisco Unit List Price_240426.xlsx,Cisco,D16,"=if(C16="""",B16,C16)",True
Cisco Unit List Price_240426.xlsx,Cisco,A17,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-24P-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B17,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),7688.05)",True
Cisco Unit List Price_240426.xlsx,Cisco,D17,"=if(C17="""",B17,C17)",True
Cisco Unit List Price_240426.xlsx,Cisco,A18,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-48T-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B18,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),11166.4)",True
Cisco Unit List Price_240426.xlsx,Cisco,D18,"=if(C18="""",B18,C18)",True
Cisco Unit List Price_240426.xlsx,Cisco,A19,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-48P-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B19,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),15455.34)",True
Cisco Unit List Price_240426.xlsx,Cisco,D19,"=if(C19="""",B19,C19)",True
Cisco Unit List Price_240426.xlsx,Cisco,A20,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-24T-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B20,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),8762.44)",True
Cisco Unit List Price_240426.xlsx,Cisco,D20,"=if(C20="""",B20,C20)",True
Cisco Unit List Price_240426.xlsx,Cisco,A21,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-24P-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B21,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),10192.33)",True
Cisco Unit List Price_240426.xlsx,Cisco,D21,"=if(C21="""",B21,C21)",True
Cisco Unit List Price_240426.xlsx,Cisco,A22,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-48T-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B22,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),13666.57)",True
Cisco Unit List Price_240426.xlsx,Cisco,D22,"=if(C22="""",B22,C22)",True
Cisco Unit List Price_240426.xlsx,Cisco,A23,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200L-48P-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B23,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),17955.51)",True
Cisco Unit List Price_240426.xlsx,Cisco,D23,"=if(C23="""",B23,C23)",True
Cisco Unit List Price_240426.xlsx,Cisco,A24,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200CX-8P-2X2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B24,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5144.72)",True
Cisco Unit List Price_240426.xlsx,Cisco,D24,"=if(C24="""",B24,C24)",True
Cisco Unit List Price_240426.xlsx,Cisco,A25,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200CX-12T-2X2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B25,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),4714.31)",True
Cisco Unit List Price_240426.xlsx,Cisco,D25,"=if(C25="""",B25,C25)",True
Cisco Unit List Price_240426.xlsx,Cisco,A26,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9200CX-12P-2X2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B26,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5606.95)",True
Cisco Unit List Price_240426.xlsx,Cisco,D26,"=if(C26="""",B26,C26)",True
Cisco Unit List Price_240426.xlsx,Cisco,A27,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-24T-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B27,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),13274.37)",True
Cisco Unit List Price_240426.xlsx,Cisco,D27,"=if(C27="""",B27,C27)",True
Cisco Unit List Price_240426.xlsx,Cisco,A28,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-24P-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B28,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),14219.2)",True
Cisco Unit List Price_240426.xlsx,Cisco,D28,"=if(C28="""",B28,C28)",True
Cisco Unit List Price_240426.xlsx,Cisco,A29,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-24T-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B29,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),16104.69)",True
Cisco Unit List Price_240426.xlsx,Cisco,D29,"=if(C29="""",B29,C29)",True
Cisco Unit List Price_240426.xlsx,Cisco,A30,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-24P-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B30,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),17045.38)",True
Cisco Unit List Price_240426.xlsx,Cisco,D30,"=if(C30="""",B30,C30)",True
Cisco Unit List Price_240426.xlsx,Cisco,A31,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-48T-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B31,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),19434.02)",True
Cisco Unit List Price_240426.xlsx,Cisco,D31,"=if(C31="""",B31,C31)",True
Cisco Unit List Price_240426.xlsx,Cisco,A32,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-48P-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B32,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),22071.94)",True
Cisco Unit List Price_240426.xlsx,Cisco,D32,"=if(C32="""",B32,C32)",True
